Sample,Mut_type,Mut_num,Cover_num,Mut_ratio,Pass_num,Count
33A-EMX1-PD_rep1,CT,1,4,0.1,0,6219695
33A-EMX1-PD_rep1,GA,1,4,0.1,0,6253650
33A-EMX1-PD_rep1,CT,1,4,0.1,1,6219695
33A-EMX1-PD_rep1,GA,1,4,0.1,1,6253650
33A-EMX1-PD_rep1,CT,1,4,0.1,2,1806873
33A-EMX1-PD_rep1,GA,1,4,0.1,2,1839288
33A-EMX1-PD_rep1,CT,1,4,0.1,3,463326
33A-EMX1-PD_rep1,GA,1,4,0.1,3,480024
33A-EMX1-PD_rep1,CT,1,5,0.1,0,5144846
33A-EMX1-PD_rep1,GA,1,5,0.1,0,5175159
33A-EMX1-PD_rep1,CT,1,5,0.1,1,5144846
33A-EMX1-PD_rep1,GA,1,5,0.1,1,5175159
33A-EMX1-PD_rep1,CT,1,5,0.1,2,1482182
33A-EMX1-PD_rep1,GA,1,5,0.1,2,1510592
33A-EMX1-PD_rep1,CT,1,5,0.1,3,378694
33A-EMX1-PD_rep1,GA,1,5,0.1,3,392899
33A-EMX1-PD_rep1,CT,1,6,0.1,0,4100293
33A-EMX1-PD_rep1,GA,1,6,0.1,0,4124927
33A-EMX1-PD_rep1,CT,1,6,0.1,1,4100293
33A-EMX1-PD_rep1,GA,1,6,0.1,1,4124927
33A-EMX1-PD_rep1,CT,1,6,0.1,2,1163877
33A-EMX1-PD_rep1,GA,1,6,0.1,2,1186975
33A-EMX1-PD_rep1,CT,1,6,0.1,3,295274
33A-EMX1-PD_rep1,GA,1,6,0.1,3,306243
33A-EMX1-PD_rep1,CT,1,7,0.1,0,3117429
33A-EMX1-PD_rep1,GA,1,7,0.1,0,3137877
33A-EMX1-PD_rep1,CT,1,7,0.1,1,3117429
33A-EMX1-PD_rep1,GA,1,7,0.1,1,3137877
33A-EMX1-PD_rep1,CT,1,7,0.1,2,863281
33A-EMX1-PD_rep1,GA,1,7,0.1,2,880091
33A-EMX1-PD_rep1,CT,1,7,0.1,3,215335
33A-EMX1-PD_rep1,GA,1,7,0.1,3,223681
33A-EMX1-PD_rep1,CT,1,8,0.1,0,2230407
33A-EMX1-PD_rep1,GA,1,8,0.1,0,2244805
33A-EMX1-PD_rep1,CT,1,8,0.1,1,2230407
33A-EMX1-PD_rep1,GA,1,8,0.1,1,2244805
33A-EMX1-PD_rep1,CT,1,8,0.1,2,590894
33A-EMX1-PD_rep1,GA,1,8,0.1,2,602448
33A-EMX1-PD_rep1,CT,1,8,0.1,3,142755
33A-EMX1-PD_rep1,GA,1,8,0.1,3,148045
33A-EMX1-PD_rep1,CT,2,4,0.1,0,1029866
33A-EMX1-PD_rep1,GA,2,4,0.1,0,1022149
33A-EMX1-PD_rep1,CT,2,4,0.1,1,1029866
33A-EMX1-PD_rep1,GA,2,4,0.1,1,1022149
33A-EMX1-PD_rep1,CT,2,4,0.1,2,209390
33A-EMX1-PD_rep1,GA,2,4,0.1,2,207919
33A-EMX1-PD_rep1,CT,2,4,0.1,3,39129
33A-EMX1-PD_rep1,GA,2,4,0.1,3,39123
33A-EMX1-PD_rep1,CT,2,5,0.1,0,932104
33A-EMX1-PD_rep1,GA,2,5,0.1,0,925876
33A-EMX1-PD_rep1,CT,2,5,0.1,1,932104
33A-EMX1-PD_rep1,GA,2,5,0.1,1,925876
33A-EMX1-PD_rep1,CT,2,5,0.1,2,188814
33A-EMX1-PD_rep1,GA,2,5,0.1,2,187925
33A-EMX1-PD_rep1,CT,2,5,0.1,3,35134
33A-EMX1-PD_rep1,GA,2,5,0.1,3,35203
33A-EMX1-PD_rep1,CT,2,6,0.1,0,817486
33A-EMX1-PD_rep1,GA,2,6,0.1,0,812676
33A-EMX1-PD_rep1,CT,2,6,0.1,1,817486
33A-EMX1-PD_rep1,GA,2,6,0.1,1,812676
33A-EMX1-PD_rep1,CT,2,6,0.1,2,165104
33A-EMX1-PD_rep1,GA,2,6,0.1,2,164074
33A-EMX1-PD_rep1,CT,2,6,0.1,3,30539
33A-EMX1-PD_rep1,GA,2,6,0.1,3,30593
33A-EMX1-PD_rep1,CT,2,7,0.1,0,694574
33A-EMX1-PD_rep1,GA,2,7,0.1,0,690651
33A-EMX1-PD_rep1,CT,2,7,0.1,1,694574
33A-EMX1-PD_rep1,GA,2,7,0.1,1,690651
33A-EMX1-PD_rep1,CT,2,7,0.1,2,139592
33A-EMX1-PD_rep1,GA,2,7,0.1,2,138641
33A-EMX1-PD_rep1,CT,2,7,0.1,3,25764
