Sample,Mut_type,Mut_num,Cover_num,Mut_ratio,Pass_num,Count
33A-EMX1-PD_rep1,CT,1,4,0.1,0,6219695
33A-EMX1-PD_rep1,GA,1,4,0.1,0,6253650
33A-EMX1-PD_rep1,CT,1,4,0.1,1,6219695
33A-EMX1-PD_rep1,GA,1,4,0.1,1,6253650
33A-EMX1-PD_rep1,CT,1,4,0.1,2,1806873
33A-EMX1-PD_rep1,GA,1,4,0.1,2,1839288
33A-EMX1-PD_rep1,CT,1,4,0.1,3,463326
33A-EMX1-PD_rep1,GA,1,4,0.1,3,480024
33A-EMX1-PD_rep1,CT,1,4,0.1,4,113655
33A-EMX1-PD_rep1,GA,1,4,0.1,4,121002
33A-EMX1-PD_rep1,CT,1,4,0.1,5,28632
33A-EMX1-PD_rep1,GA,1,4,0.1,5,31080
33A-EMX1-PD_rep1,CT,1,5,0.1,0,5144846
33A-EMX1-PD_rep1,GA,1,5,0.1,0,5175159
33A-EMX1-PD_rep1,CT,1,5,0.1,1,5144846
33A-EMX1-PD_rep1,GA,1,5,0.1,1,5175159
33A-EMX1-PD_rep1,CT,1,5,0.1,2,1482182
33A-EMX1-PD_rep1,GA,1,5,0.1,2,1510592
33A-EMX1-PD_rep1,CT,1,5,0.1,3,378694
33A-EMX1-PD_rep1,GA,1,5,0.1,3,392899
33A-EMX1-PD_rep1,CT,1,5,0.1,4,93085
33A-EMX1-PD_rep1,GA,1,5,0.1,4,99175
33A-EMX1-PD_rep1,CT,1,5,0.1,5,23439
33A-EMX1-PD_rep1,GA,1,5,0.1,5,25605
33A-EMX1-PD_rep1,CT,1,6,0.1,0,4100293
33A-EMX1-PD_rep1,GA,1,6,0.1,0,4124927
33A-EMX1-PD_rep1,CT,1,6,0.1,1,4100293
33A-EMX1-PD_rep1,GA,1,6,0.1,1,4124927
33A-EMX1-PD_rep1,CT,1,6,0.1,2,1163877
33A-EMX1-PD_rep1,GA,1,6,0.1,2,1186975
33A-EMX1-PD_rep1,CT,1,6,0.1,3,295274
33A-EMX1-PD_rep1,GA,1,6,0.1,3,306243
33A-EMX1-PD_rep1,CT,1,6,0.1,4,72275
33A-EMX1-PD_rep1,GA,1,6,0.1,4,77209
33A-EMX1-PD_rep1,CT,1,6,0.1,5,18163
33A-EMX1-PD_rep1,GA,1,6,0.1,5,19834
33A-EMX1-PD_rep1,CT,1,7,0.1,0,3117429
33A-EMX1-PD_rep1,GA,1,7,0.1,0,3137877
33A-EMX1-PD_rep1,CT,1,7,0.1,1,3117429
33A-EMX1-PD_rep1,GA,1,7,0.1,1,3137877
33A-EMX1-PD_rep1,CT,1,7,0.1,2,863281
33A-EMX1-PD_rep1,GA,1,7,0.1,2,880091
33A-EMX1-PD_rep1,CT,1,7,0.1,3,215335
33A-EMX1-PD_rep1,GA,1,7,0.1,3,223681
33A-EMX1-PD_rep1,CT,1,7,0.1,4,52204
33A-EMX1-PD_rep1,GA,1,7,0.1,4,55753
33A-EMX1-PD_rep1,CT,1,7,0.1,5,13060
33A-EMX1-PD_rep1,GA,1,7,0.1,5,14204
33A-EMX1-PD_rep1,CT,1,8,0.1,0,2230407
33A-EMX1-PD_rep1,GA,1,8,0.1,0,2244805
33A-EMX1-PD_rep1,CT,1,8,0.1,1,2230407
33A-EMX1-PD_rep1,GA,1,8,0.1,1,2244805
33A-EMX1-PD_rep1,CT,1,8,0.1,2,590894
33A-EMX1-PD_rep1,GA,1,8,0.1,2,602448
33A-EMX1-PD_rep1,CT,1,8,0.1,3,142755
33A-EMX1-PD_rep1,GA,1,8,0.1,3,148045
33A-EMX1-PD_rep1,CT,1,8,0.1,4,33696
33A-EMX1-PD_rep1,GA,1,8,0.1,4,35875
33A-EMX1-PD_rep1,CT,1,8,0.1,5,8260
33A-EMX1-PD_rep1,GA,1,8,0.1,5,8901
33A-EMX1-PD_rep1,CT,1,9,0.1,0,1462624
33A-EMX1-PD_rep1,GA,1,9,0.1,0,1471933
33A-EMX1-PD_rep1,CT,1,9,0.1,1,1462624
33A-EMX1-PD_rep1,GA,1,9,0.1,1,1471933
33A-EMX1-PD_rep1,CT,1,9,0.1,2,356976
33A-EMX1-PD_rep1,GA,1,9,0.1,2,362725
33A-EMX1-PD_rep1,CT,1,9,0.1,3,80563
33A-EMX1-PD_rep1,GA,1,9,0.1,3,82854
33A-EMX1-PD_rep1,CT,1,9,0.1,4,17853
33A-EMX1-PD_rep1,GA,1,9,0.1,4,18769
33A-EMX1-PD_rep1,CT,1,9,0.1,5,4099
