Sample,Mut_type,Mut_num,Cover_num,Mut_ratio,Pass_num,Count
33A-VEGFA-PD_rep1,CT,1,4,0.1,0,14583167
33A-VEGFA-PD_rep1,GA,1,4,0.1,0,14640215
33A-VEGFA-PD_rep1,CT,1,4,0.1,1,14583167
33A-VEGFA-PD_rep1,GA,1,4,0.1,1,14640215
33A-VEGFA-PD_rep1,CT,1,4,0.1,2,4700742
33A-VEGFA-PD_rep1,GA,1,4,0.1,2,4779946
33A-VEGFA-PD_rep1,CT,1,4,0.1,3,1459725
33A-VEGFA-PD_rep1,GA,1,4,0.1,3,1517693
33A-VEGFA-PD_rep1,CT,1,4,0.1,4,453351
33A-VEGFA-PD_rep1,GA,1,4,0.1,4,485644
33A-VEGFA-PD_rep1,CT,1,4,0.1,5,144198
33A-VEGFA-PD_rep1,GA,1,4,0.1,5,159031
33A-VEGFA-PD_rep1,CT,1,5,0.1,0,14087624
33A-VEGFA-PD_rep1,GA,1,5,0.1,0,14143427
33A-VEGFA-PD_rep1,CT,1,5,0.1,1,14087624
33A-VEGFA-PD_rep1,GA,1,5,0.1,1,14143427
33A-VEGFA-PD_rep1,CT,1,5,0.1,2,4509327
33A-VEGFA-PD_rep1,GA,1,5,0.1,2,4586248
33A-VEGFA-PD_rep1,CT,1,5,0.1,3,1397044
33A-VEGFA-PD_rep1,GA,1,5,0.1,3,1453147
33A-VEGFA-PD_rep1,CT,1,5,0.1,4,434054
33A-VEGFA-PD_rep1,GA,1,5,0.1,4,465101
33A-VEGFA-PD_rep1,CT,1,5,0.1,5,138067
33A-VEGFA-PD_rep1,GA,1,5,0.1,5,152330
33A-VEGFA-PD_rep1,CT,1,6,0.1,0,13293640
33A-VEGFA-PD_rep1,GA,1,6,0.1,0,13346546
33A-VEGFA-PD_rep1,CT,1,6,0.1,1,13293640
33A-VEGFA-PD_rep1,GA,1,6,0.1,1,13346546
33A-VEGFA-PD_rep1,CT,1,6,0.1,2,4196497
33A-VEGFA-PD_rep1,GA,1,6,0.1,2,4268860
33A-VEGFA-PD_rep1,CT,1,6,0.1,3,1291177
33A-VEGFA-PD_rep1,GA,1,6,0.1,3,1343919
33A-VEGFA-PD_rep1,CT,1,6,0.1,4,400043
33A-VEGFA-PD_rep1,GA,1,6,0.1,4,428723
33A-VEGFA-PD_rep1,CT,1,6,0.1,5,127201
33A-VEGFA-PD_rep1,GA,1,6,0.1,5,140172
33A-VEGFA-PD_rep1,CT,1,7,0.1,0,12134635
33A-VEGFA-PD_rep1,GA,1,7,0.1,0,12180824
33A-VEGFA-PD_rep1,CT,1,7,0.1,1,12134635
33A-VEGFA-PD_rep1,GA,1,7,0.1,1,12180824
33A-VEGFA-PD_rep1,CT,1,7,0.1,2,3730920
33A-VEGFA-PD_rep1,GA,1,7,0.1,2,3795026
33A-VEGFA-PD_rep1,CT,1,7,0.1,3,1129262
33A-VEGFA-PD_rep1,GA,1,7,0.1,3,1175048
33A-VEGFA-PD_rep1,CT,1,7,0.1,4,345939
33A-VEGFA-PD_rep1,GA,1,7,0.1,4,370383
33A-VEGFA-PD_rep1,CT,1,7,0.1,5,108877
33A-VEGFA-PD_rep1,GA,1,7,0.1,5,120129
33A-VEGFA-PD_rep1,CT,1,8,0.1,0,10571688
33A-VEGFA-PD_rep1,GA,1,8,0.1,0,10612339
33A-VEGFA-PD_rep1,CT,1,8,0.1,1,10571688
33A-VEGFA-PD_rep1,GA,1,8,0.1,1,10612339
33A-VEGFA-PD_rep1,CT,1,8,0.1,2,3094018
33A-VEGFA-PD_rep1,GA,1,8,0.1,2,3147077
33A-VEGFA-PD_rep1,CT,1,8,0.1,3,903532
33A-VEGFA-PD_rep1,GA,1,8,0.1,3,939366
33A-VEGFA-PD_rep1,CT,1,8,0.1,4,268605
33A-VEGFA-PD_rep1,GA,1,8,0.1,4,287634
33A-VEGFA-PD_rep1,CT,1,8,0.1,5,82375
33A-VEGFA-PD_rep1,GA,1,8,0.1,5,90562
33A-VEGFA-PD_rep1,CT,1,9,0.1,0,8602060
33A-VEGFA-PD_rep1,GA,1,9,0.1,0,8631944
33A-VEGFA-PD_rep1,CT,1,9,0.1,1,8602060
33A-VEGFA-PD_rep1,GA,1,9,0.1,1,8631944
33A-VEGFA-PD_rep1,CT,1,9,0.1,2,2289707
33A-VEGFA-PD_rep1,GA,1,9,0.1,2,2326007
33A-VEGFA-PD_rep1,CT,1,9,0.1,3,618203
33A-VEGFA-PD_rep1,GA,1,9,0.1,3,639214
33A-VEGFA-PD_rep1,CT,1,9,0.1,4,171268
33A-VEGFA-PD_rep1,GA,1,9,0.1,4,182066
33A-VEGFA-PD_rep1,CT,1,9,0.1,5,49518
33A-VEGFA-PD_rep1,GA,1,9,0.1,5,53481
33A-VEGFA-PD_rep1,CT,2,4,0.1,0,3968485
33A-VEGFA-PD_rep1,GA,2,4,0.1,0,3940057
33A-VEGFA-PD_rep1,CT,2,4,0.1,1,3968485
33A-VEGFA-PD_rep1,GA,2,4,0.1,1,3940057
33A-VEGFA-PD_rep1,CT,2,4,0.1,2,690490
33A-VEGFA-PD_rep1,GA,2,4,0.1,2,687573
33A-VEGFA-PD_rep1,CT,2,4,0.1,3,130782
33A-VEGFA-PD_rep1,GA,2,4,0.1,3,131044
33A-VEGFA-PD_rep1,CT,2,4,0.1,4,26668
33A-VEGFA-PD_rep1,GA,2,4,0.1,4,27261
33A-VEGFA-PD_rep1,CT,2,4,0.1,5,5736
33A-VEGFA-PD_rep1,GA,2,4,0.1,5,5849
33A-VEGFA-PD_rep1,CT,2,5,0.1,0,3947501
33A-VEGFA-PD_rep1,GA,2,5,0.1,0,3919263
33A-VEGFA-PD_rep1,CT,2,5,0.1,1,3947501
33A-VEGFA-PD_rep1,GA,2,5,0.1,1,3919263
33A-VEGFA-PD_rep1,CT,2,5,0.1,2,687844
33A-VEGFA-PD_rep1,GA,2,5,0.1,2,684872
33A-VEGFA-PD_rep1,CT,2,5,0.1,3,130427
33A-VEGFA-PD_rep1,GA,2,5,0.1,3,130669
33A-VEGFA-PD_rep1,CT,2,5,0.1,4,26599
33A-VEGFA-PD_rep1,GA,2,5,0.1,4,27186
33A-VEGFA-PD_rep1,CT,2,5,0.1,5,5724
33A-VEGFA-PD_rep1,GA,2,5,0.1,5,5829
33A-VEGFA-PD_rep1,CT,2,6,0.1,0,3906157
33A-VEGFA-PD_rep1,GA,2,6,0.1,0,3878049
33A-VEGFA-PD_rep1,CT,2,6,0.1,1,3906157
33A-VEGFA-PD_rep1,GA,2,6,0.1,1,3878049
33A-VEGFA-PD_rep1,CT,2,6,0.1,2,682358
33A-VEGFA-PD_rep1,GA,2,6,0.1,2,679238
33A-VEGFA-PD_rep1,CT,2,6,0.1,3,129644
33A-VEGFA-PD_rep1,GA,2,6,0.1,3,129822
33A-VEGFA-PD_rep1,CT,2,6,0.1,4,26473
33A-VEGFA-PD_rep1,GA,2,6,0.1,4,27052
33A-VEGFA-PD_rep1,CT,2,6,0.1,5,5707
33A-VEGFA-PD_rep1,GA,2,6,0.1,5,5807
33A-VEGFA-PD_rep1,CT,2,7,0.1,0,3833029
33A-VEGFA-PD_rep1,GA,2,7,0.1,0,3805360
33A-VEGFA-PD_rep1,CT,2,7,0.1,1,3833029
33A-VEGFA-PD_rep1,GA,2,7,0.1,1,3805360
33A-VEGFA-PD_rep1,CT,2,7,0.1,2,671994
33A-VEGFA-PD_rep1,GA,2,7,0.1,2,669098
33A-VEGFA-PD_rep1,CT,2,7,0.1,3,128109
33A-VEGFA-PD_rep1,GA,2,7,0.1,3,128340
33A-VEGFA-PD_rep1,CT,2,7,0.1,4,26217
33A-VEGFA-PD_rep1,GA,2,7,0.1,4,26792
33A-VEGFA-PD_rep1,CT,2,7,0.1,5,5653
33A-VEGFA-PD_rep1,GA,2,7,0.1,5,5759
33A-VEGFA-PD_rep1,CT,2,8,0.1,0,3718446
33A-VEGFA-PD_rep1,GA,2,8,0.1,0,3691568
33A-VEGFA-PD_rep1,CT,2,8,0.1,1,3718446
33A-VEGFA-PD_rep1,GA,2,8,0.1,1,3691568
33A-VEGFA-PD_rep1,CT,2,8,0.1,2,655158
33A-VEGFA-PD_rep1,GA,2,8,0.1,2,652208
33A-VEGFA-PD_rep1,CT,2,8,0.1,3,125515
33A-VEGFA-PD_rep1,GA,2,8,0.1,3,125800
33A-VEGFA-PD_rep1,CT,2,8,0.1,4,25816
33A-VEGFA-PD_rep1,GA,2,8,0.1,4,26372
33A-VEGFA-PD_rep1,CT,2,8,0.1,5,5581
33A-VEGFA-PD_rep1,GA,2,8,0.1,5,5674
33A-VEGFA-PD_rep1,CT,2,9,0.1,0,3554863
33A-VEGFA-PD_rep1,GA,2,9,0.1,0,3528396
33A-VEGFA-PD_rep1,CT,2,9,0.1,1,3554863
33A-VEGFA-PD_rep1,GA,2,9,0.1,1,3528396
33A-VEGFA-PD_rep1,CT,2,9,0.1,2,629871
33A-VEGFA-PD_rep1,GA,2,9,0.1,2,626791
33A-VEGFA-PD_rep1,CT,2,9,0.1,3,121497
33A-VEGFA-PD_rep1,GA,2,9,0.1,3,121761
33A-VEGFA-PD_rep1,CT,2,9,0.1,4,25159
33A-VEGFA-PD_rep1,GA,2,9,0.1,4,25623
33A-VEGFA-PD_rep1,CT,2,9,0.1,5,5466
33A-VEGFA-PD_rep1,GA,2,9,0.1,5,5559
33A-VEGFA-PD_rep1,CT,3,4,0.1,0,555873
33A-VEGFA-PD_rep1,GA,3,4,0.1,0,550214
33A-VEGFA-PD_rep1,CT,3,4,0.1,1,555873
33A-VEGFA-PD_rep1,GA,3,4,0.1,1,550214
33A-VEGFA-PD_rep1,CT,3,4,0.1,2,46942
33A-VEGFA-PD_rep1,GA,3,4,0.1,2,46994
33A-VEGFA-PD_rep1,CT,3,4,0.1,3,5276
33A-VEGFA-PD_rep1,GA,3,4,0.1,3,5467
33A-VEGFA-PD_rep1,CT,3,4,0.1,4,737
33A-VEGFA-PD_rep1,GA,3,4,0.1,4,787
33A-VEGFA-PD_rep1,CT,3,4,0.1,5,133
33A-VEGFA-PD_rep1,GA,3,4,0.1,5,151
33A-VEGFA-PD_rep1,CT,3,5,0.1,0,554229
33A-VEGFA-PD_rep1,GA,3,5,0.1,0,548576
33A-VEGFA-PD_rep1,CT,3,5,0.1,1,554229
33A-VEGFA-PD_rep1,GA,3,5,0.1,1,548576
33A-VEGFA-PD_rep1,CT,3,5,0.1,2,46904
33A-VEGFA-PD_rep1,GA,3,5,0.1,2,46947
33A-VEGFA-PD_rep1,CT,3,5,0.1,3,5271
33A-VEGFA-PD_rep1,GA,3,5,0.1,3,5460
33A-VEGFA-PD_rep1,CT,3,5,0.1,4,737
33A-VEGFA-PD_rep1,GA,3,5,0.1,4,782
33A-VEGFA-PD_rep1,CT,3,5,0.1,5,133
33A-VEGFA-PD_rep1,GA,3,5,0.1,5,149
33A-VEGFA-PD_rep1,CT,3,6,0.1,0,551664
33A-VEGFA-PD_rep1,GA,3,6,0.1,0,546098
33A-VEGFA-PD_rep1,CT,3,6,0.1,1,551664
33A-VEGFA-PD_rep1,GA,3,6,0.1,1,546098
33A-VEGFA-PD_rep1,CT,3,6,0.1,2,46818
33A-VEGFA-PD_rep1,GA,3,6,0.1,2,46868
33A-VEGFA-PD_rep1,CT,3,6,0.1,3,5266
33A-VEGFA-PD_rep1,GA,3,6,0.1,3,5451
33A-VEGFA-PD_rep1,CT,3,6,0.1,4,735
33A-VEGFA-PD_rep1,GA,3,6,0.1,4,781
33A-VEGFA-PD_rep1,CT,3,6,0.1,5,133
33A-VEGFA-PD_rep1,GA,3,6,0.1,5,148
33A-VEGFA-PD_rep1,CT,3,7,0.1,0,547268
33A-VEGFA-PD_rep1,GA,3,7,0.1,0,541870
33A-VEGFA-PD_rep1,CT,3,7,0.1,1,547268
33A-VEGFA-PD_rep1,GA,3,7,0.1,1,541870
33A-VEGFA-PD_rep1,CT,3,7,0.1,2,46638
33A-VEGFA-PD_rep1,GA,3,7,0.1,2,46731
33A-VEGFA-PD_rep1,CT,3,7,0.1,3,5255
33A-VEGFA-PD_rep1,GA,3,7,0.1,3,5434
33A-VEGFA-PD_rep1,CT,3,7,0.1,4,734
33A-VEGFA-PD_rep1,GA,3,7,0.1,4,779
33A-VEGFA-PD_rep1,CT,3,7,0.1,5,132
33A-VEGFA-PD_rep1,GA,3,7,0.1,5,145
33A-VEGFA-PD_rep1,CT,3,8,0.1,0,540162
33A-VEGFA-PD_rep1,GA,3,8,0.1,0,534898
33A-VEGFA-PD_rep1,CT,3,8,0.1,1,540162
33A-VEGFA-PD_rep1,GA,3,8,0.1,1,534898
33A-VEGFA-PD_rep1,CT,3,8,0.1,2,46337
33A-VEGFA-PD_rep1,GA,3,8,0.1,2,46422
33A-VEGFA-PD_rep1,CT,3,8,0.1,3,5241
33A-VEGFA-PD_rep1,GA,3,8,0.1,3,5412
33A-VEGFA-PD_rep1,CT,3,8,0.1,4,732
33A-VEGFA-PD_rep1,GA,3,8,0.1,4,776
33A-VEGFA-PD_rep1,CT,3,8,0.1,5,132
33A-VEGFA-PD_rep1,GA,3,8,0.1,5,145
33A-VEGFA-PD_rep1,CT,3,9,0.1,0,529247
33A-VEGFA-PD_rep1,GA,3,9,0.1,0,524127
33A-VEGFA-PD_rep1,CT,3,9,0.1,1,529247
33A-VEGFA-PD_rep1,GA,3,9,0.1,1,524127
33A-VEGFA-PD_rep1,CT,3,9,0.1,2,45815
33A-VEGFA-PD_rep1,GA,3,9,0.1,2,45914
33A-VEGFA-PD_rep1,CT,3,9,0.1,3,5199
33A-VEGFA-PD_rep1,GA,3,9,0.1,3,5391
33A-VEGFA-PD_rep1,CT,3,9,0.1,4,727
33A-VEGFA-PD_rep1,GA,3,9,0.1,4,774
33A-VEGFA-PD_rep1,CT,3,9,0.1,5,131
33A-VEGFA-PD_rep1,GA,3,9,0.1,5,144
33A-VEGFA-PD_rep1,CT,4,4,0.1,0,96097
33A-VEGFA-PD_rep1,GA,4,4,0.1,0,94494
33A-VEGFA-PD_rep1,CT,4,4,0.1,1,96097
33A-VEGFA-PD_rep1,GA,4,4,0.1,1,94494
33A-VEGFA-PD_rep1,CT,4,4,0.1,2,4361
33A-VEGFA-PD_rep1,GA,4,4,0.1,2,4246
33A-VEGFA-PD_rep1,CT,4,4,0.1,3,381
33A-VEGFA-PD_rep1,GA,4,4,0.1,3,379
33A-VEGFA-PD_rep1,CT,4,4,0.1,4,59
33A-VEGFA-PD_rep1,GA,4,4,0.1,4,88
33A-VEGFA-PD_rep1,CT,4,4,0.1,5,27
33A-VEGFA-PD_rep1,GA,4,4,0.1,5,34
33A-VEGFA-PD_rep1,CT,4,5,0.1,0,95253
33A-VEGFA-PD_rep1,GA,4,5,0.1,0,93712
33A-VEGFA-PD_rep1,CT,4,5,0.1,1,95253
33A-VEGFA-PD_rep1,GA,4,5,0.1,1,93712
33A-VEGFA-PD_rep1,CT,4,5,0.1,2,4346
33A-VEGFA-PD_rep1,GA,4,5,0.1,2,4237
33A-VEGFA-PD_rep1,CT,4,5,0.1,3,380
33A-VEGFA-PD_rep1,GA,4,5,0.1,3,377
33A-VEGFA-PD_rep1,CT,4,5,0.1,4,59
33A-VEGFA-PD_rep1,GA,4,5,0.1,4,87
33A-VEGFA-PD_rep1,CT,4,5,0.1,5,27
